,bill_id,long_title,bill_status
0,17SBN-2235,fiscal regime mining industry,Pending
1,17SBN-2234,sale certain land barangay city university city university charter,Passed
2,17SBN-2233,excise tax tobacco tax incremental tobacco excise tax human resource development health internal revenue,Passed
3,17SBN-2232,institutionalization development training organization administration basic reserve corp public private educational citizen force reservist service,Pending
4,17SBN-2231,bank,Pending
5,17SBN-2230,day remembrance road crash,Pending
6,17SBN-2229,third day remembrance road crash,Pending
7,17SBN-2228,nature park barangay city province responsible zone,Passed
8,17SBN-2227,foreign,Pending
9,17SBN-2226,disclosure pertinent secrecy,Pending
10,17SBN-2225,evaluation,Pending
11,17SBN-2224,protecting child marriage illegal,Pending
13,17SBN-2222,energy consumer advocate,Pending
14,17SBN-2221,sport academy training center barangay province,Pending
15,17SBN-2220,toll certain,Pending
16,17SBN-2219,participation civil society preparation authorization process annual budget effective,Pending
17,17SBN-2218,total electrification unserved,Pending
18,17SBN-2217,memorial medical center city medical center,Pending
19,17SBN-2216,department water irrigation sewage sanitation resource management,Pending
20,17SBN-2215,basic first aid training,Pending
21,17SBN-2214,reorganization reform structure uniformed bureau fire protection certain,Pending
22,17SBN-2213,police reform reorganization,Pending
23,17SBN-2212,social pension senior coverage senior,Pending
24,17SBN-2211,measurement system measurement institute,Pending
25,17SBN-2210,public utility land transportation traffic,Pending
26,17SBN-2209,bed capacity medical center service professional health care therein,Pending
27,17SBN-2208,special pursuant motor vehicle charge general,Pending
28,17SBN-2207,base conversion development base conversion development,Pending
29,17SBN-2206,commission election system local subsequent local electoral transparency credibility fairness accuracy related election,Pending
30,17SBN-2205,labor rationalization wage industrial basis,Pending
31,17SBN-2204,certain state people terrorism,Pending
32,17SBN-2203,organic agriculture,Pending
33,17SBN-2202,bed capacity medical center service professional health care therein,Pending
34,17SBN-2201,special working holiday entire country historic decision permanent court arbitration favor sovereignty west sea,Pending
35,17SBN-2200,encouraging volunteerism liability,Pending
36,17SBN-2199,regulation social welfare development,Pending
37,17SBN-2198,youth social welfare scope reformation rehabilitation conflict juvenile justice welfare,Pending
38,17SBN-2197,internal revenue,Pending
39,17SBN-2196,certain,Pending
40,17SBN-2195,court community service lieu imprisonment chapter book,Passed
41,17SBN-2194,new certain consumer,Pending
42,17SBN-2193,mental health tax internal revenue,Pending
43,17SBN-2192,sex,Pending
44,17SBN-2191,plain tobacco,Pending
45,17SBN-2190,local local least ten share internal revenue allotment,Pending
46,17SBN-2189,administrative procurement reform,Pending
47,17SBN-2188,bed capacity memorial hospital medical center city increase medical nonmedical personnel,Passed
48,17SBN-2187,hospital city general hospital general hospital capacity,Passed
49,17SBN-2186,surveillance response notifiable health public health concern communicable,Passed
50,17SBN-2185,appropriate civil service eligibility reform,Pending
51,17SBN-2184,system,Pending
52,17SBN-2183,additional regional trial court judicial region province judiciary reorganization,Pending
53,17SBN-2182,rubber industry rubber industry development board,Pending
54,17SBN-2181,position mandatory city provincial local,Pending
55,17SBN-2180,public utility land transportation traffic,Pending
56,17SBN-2179,bed capacity memorial general hospital professional health care increase medical personnel,Pending
57,17SBN-2178,district hospital province level general hospital island medical center,Pending
58,17SBN-2177,excise tax tobacco tax reform,Pending
59,17SBN-2176,comprehensive atomic regulation atomic regulatory commission,Pending
60,17SBN-2175,informal economy recognition integration transition formal economy,Pending
61,17SBN-2174,safety cleanliness public indoor play,Pending
62,17SBN-2173,public utility land transportation traffic,Pending
63,17SBN-2172,system,Passed
64,17SBN-2171,strengthening warehouse receipt legal framework trade commerce related,Pending
