,num,long_title,status,author
5,SBN-1148,"an act amending section 58 of republic act no. 8551, otherwise known as the 'philippine national police reform and reorganization act of 1998', appropriating funds therefor and for other purposes",Pending in the Committee,"De Lima, Leila M."
10,SBN-1143,"an act institutionalizing the philippine navy forward operating bases, appropriating funds for the establishment thereof, and for other purposes",Pending in the Committee,"Tolentino, Francis ""Tol"" N."
14,SBN-1139,"an act creating the department of disaster resilience, defining its powers and functions, and appropriating funds therefor",Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
16,SBN-1137,"an act creating the department of water resources management, defining its powers and functions, and appropriating funds therefor, and for other purposes",Pending in the Committee,"Dela Rosa, Ronald ""Bato"""
26,SBN-1127,"an act establishing the coconut trust fund, providing for its management and utilization, reconstituting the philippine coconut authority, and for other purposes",Pending in the Committee,"Marcos, Imee R."
27,SBN-1126,"an act expanding the philhealth outpatient coverage on dialysis and renal replacement therapy, and for other purposes",Pending in the Committee,"Marcos, Imee R."
28,SBN-1125,"an act creating the national resiliency and disaster management authority, prescribing its powers and functions, appropriating funds therefor, and for other purposes",Pending in the Committee,"Marcos, Imee R."
29,SBN-1124,"an act amending sections 443, 454, and 463 of republic act no. 7160 otherwise known as the ‘local government code of 1991",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
30,SBN-1123,an act providing for a five (5)-day special emergency leave for all workers in the public and private sector directly affected by natural calamities or disasters,Pending in the Committee,"De Lima, Leila M."
32,SBN-1121,"an act providing for the mandatory inclusion of anti-obesity education program and exercise including play and traditional games, in the pre-school, elementary and high school curricula, both in public and private schools and educational institutions and for other purposes",Pending in the Committee,"Revilla Jr., Ramon Bong"
33,SBN-1120,an act mandating all public and private medical institutions and hospitals to provide for motorcycle medical emergency first-responders,Pending in the Committee,"Revilla Jr., Ramon Bong"
