,bill_id,num,congress,long_title,date_filed,scope,status,author,date_lastUpdate,passed,Full Name Primary Author,Party,Bloc,Years of Service,num_authors,delta_days,mon,quarter,scope_national,majority_bloc,len_desc
0,18SBN-1153,SBN-1153,18,"an act amending section 65 of republic act no. 11260, otherwise known as the general appropriations act of fiscal year 2019",11/6/19,National,Pending in the Committee,"Angara, Sonny",11/6/19,FALSE,Eduardo Angara,LDP,Majority,15,1,0,11,4,TRUE,TRUE,123
1,18SBN-1152,SBN-1152,18,an act providing insurance coverage to professional filipino athletes who are competing in any international professional sports competition or in other equally prestigious international championship games and providing funds therefor,11/6/19,National,Pending in the Committee,"Lapid, Manuel ""Lito"" M.",11/6/19,FALSE,Lito Lapid,NPC,Majority,15,1,0,11,4,TRUE,TRUE,234
2,18SBN-1151,SBN-1151,18,an act providing for free freight services in the transportation of relief goods to calamity-stricken areas,11/6/19,National,Pending in the Committee,"Lapid, Manuel ""Lito"" M.",11/6/19,FALSE,Lito Lapid,NPC,Majority,15,1,0,11,4,TRUE,TRUE,107
3,18SBN-1150,SBN-1150,18,"an act incorporating a system of special education in all public and private elementary and secondary schools nationwide for children and youth with special needs, institutionalizing the bureau of special education, creating the implementing machinery thereof, providing guidelines for government financial assistance and other incentives and for other purposes",11/5/19,National,Pending in the Committee,"Binay, Maria Lourdes Nancy S.",11/6/19,FALSE,Nancy Binay,UNA,Majority,6,1,1,11,4,TRUE,TRUE,361
4,18SBN-1149,SBN-1149,18,"an act creating the philippine arbitration commission and institutionalizing compulsory arbitration for specific areas of dispute, and for other purposes",11/5/19,National,Pending in the Committee,"Binay, Maria Lourdes Nancy S.",11/6/19,FALSE,Nancy Binay,UNA,Majority,6,1,1,11,4,TRUE,TRUE,153
5,18SBN-1148,SBN-1148,18,"an act amending section 58 of republic act no. 8551, otherwise known as the 'philippine national police reform and reorganization act of 1998', appropriating funds therefor and for other purposes",11/5/19,National,Pending in the Committee,"De Lima, Leila M.",11/6/19,FALSE,Leila De Lima,Liberal,Minority,3,1,1,11,4,TRUE,FALSE,195
6,18SBN-1147,SBN-1147,18,an act strengthening the employment rights of members of the reserve force of the armed forces of the philippines and for other purposes,11/5/19,National,Pending in the Committee,"Villanueva, Joel",11/6/19,FALSE,Joel Villanueva,CIBAC,Majority,3,1,1,11,4,TRUE,TRUE,136
7,18SBN-1146,SBN-1146,18,an act providing for medical parole to qualified persons deprived of liberty and setting rules on the grant thereof,11/5/19,National,Pending in the Committee,"De Lima, Leila M.",11/6/19,FALSE,Leila De Lima,Liberal,Minority,3,1,1,11,4,TRUE,FALSE,115
8,18SBN-1145,SBN-1145,18,an act institutionalizing human rights as a separate and specialized subject in both basic and higher education,11/5/19,National,Pending in the Committee,"De Lima, Leila M.",11/6/19,FALSE,Leila De Lima,Liberal,Minority,3,1,1,11,4,TRUE,FALSE,111
9,18SBN-1144,SBN-1144,18,"an act redefining the dominant majority and minority parties during national and local elections, amending for the purpose, republic act no. 7166, otherwise known as, 'an act for synchronized national and local elections and for electoral reforms, authorizing appropriations therefor, and for other purposes",11/5/19,National,Pending in the Committee,"De Lima, Leila M.",11/6/19,FALSE,Leila De Lima,Liberal,Minority,3,1,1,11,4,TRUE,FALSE,307
10,18SBN-1143,SBN-1143,18,"an act institutionalizing the philippine navy forward operating bases, appropriating funds for the establishment thereof, and for other purposes",11/5/19,National,Pending in the Committee,"Tolentino, Francis ""Tol"" N.",11/6/19,FALSE,Francis Tolentino,PDP_Laban,Majority,0,1,1,11,4,TRUE,TRUE,144
11,18SBN-1142,SBN-1142,18,an act regulating short-term residential rental and establishing a registry for such purpose,11/5/19,National,Pending in the Committee,"Lapid, Manuel ""Lito"" M.",11/6/19,FALSE,Lito Lapid,NPC,Majority,15,1,1,11,4,TRUE,TRUE,92
12,18SBN-1141,SBN-1141,18,an act institutionalizing a nationwide language revitalization program and providing funds therefor,11/5/19,National,Pending in the Committee,"Lapid, Manuel ""Lito"" M.",11/6/19,FALSE,Lito Lapid,NPC,Majority,15,1,1,11,4,TRUE,TRUE,99
13,18SBN-1140,SBN-1140,18,"an act requiring the teaching of disaster awareness and disaster mitigation as part of the curriculum of all primary and secondary schools, and for other purposes",11/5/19,National,Pending in the Committee,"Lapid, Manuel ""Lito"" M.",11/6/19,FALSE,Lito Lapid,NPC,Majority,15,1,1,11,4,TRUE,TRUE,162
14,18SBN-1139,SBN-1139,18,"an act creating the department of disaster resilience, defining its powers and functions, and appropriating funds therefor",11/4/19,National,Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F.",11/5/19,FALSE,Juan Miguel Zubiri,PDP_Laban,Majority,12,1,1,11,4,TRUE,TRUE,122
15,18SBN-1138,SBN-1138,18,"an act strengthening local government participation in agriculture development by institutionalizing a ten percent (10%) budgetary allocation from their internal revenue allotment for the implementation of programs, activities, and services for agriculture and fisheries, and amending for the purpose sections 17, 106, 107, 110, 287, 443, 454, 482(a), and 511-a of republic act 7160 otherwise known as the local government code and for other purposes",11/4/19,National,Pending in the Committee,"Villar, Cynthia A.",11/5/19,FALSE,Cynthia Villar,Nacionalista,Majority,6,1,1,11,4,TRUE,TRUE,450
