,bill_id,num,congress,long_title,date_filed,scope,status,author,date_lastUpdate,passed,Full Name Primary Author,Party,Bloc,Years of Service,num_authors,delta_days,upper,mon,quarter,scope_national,majority_bloc,len_desc
1,17SBN-2234,SBN-2234,17,"an act authorizing the sale of certain parcels of land in barangay krus na ligas, quezon city by the university of the philippines to the quezon city government amending for the purpose republic act no. 9500, otherwise known as the university of the philippines charter of 2008 and for other purposes",2019-05-27,National,Approved by the President of the Philippines,"Recto, Ralph G., Sotto III, Vicente C., Escudero, Francis ""Chiz"" G.",2019-06-30,True,Ralph Recto,Nacionalista,Majority,18.0,3,34.0,False,5,2.0,True,True,300
2,17SBN-2233,SBN-2233,17,"an act increasing the excise tax on tobacco products, the penalties for violations of provisions on articles subject to excise tax, and earmarking incremental tobacco excise tax for human resource development programs for health professionals, amending for this purpose sections 145, 164, 260, 262, 263, 265 and 288(c) of the national internal revenue code of 1997, as amended by republic act no. 10963, and for other purposes",2019-05-27,National,Consolidated with Approved Bill,"Pacquiao, Emmanuel ""Manny"" D., Ejercito, Joseph Victor G., Gatchalian, Sherwin T., Angara, Juan Edgardo ""Sonny"" M., Villanueva, Joel, De Lima, Leila M.",2019-06-30,True,Manny Pacquiao,PDP–Laban,Majority,3.0,6,34.0,False,5,2.0,True,True,426
7,17SBN-2228,SBN-2228,17,"an act declaring the balanga wetland and nature park located in barangay tortugas, city of balanga, province of bataan as a responsible, community-based ecotourism zone and appropriating funds therefor",2019-05-21,National,Approved by the President of the Philippines,"Villar, Cynthia A., Binay, Maria Lourdes Nancy S., Legarda, Loren B.",2019-06-30,True,Cynthia Villar,Nacionalista,Majority,6.0,3,40.0,False,5,2.0,True,True,201
40,17SBN-2195,SBN-2195,17,"an act authorizing the court to require community service in lieu of imprisonment for the penalties of arresto menor and arresto mayor, amending for the purpose chapter 5, title 3, book i of act no. 3815, as amended, otherwise known as the revised penal code",2019-01-30,National,Approved by the President of the Philippines,"Trillanes, Antonio ""Sonny"" F., Angara, Juan Edgardo ""Sonny"" M., Ejercito, Joseph Victor G., Gordon, Richard J.",2019-06-30,True,Antonio Trillanes IV,Nacionalista,Minority,12.0,4,151.0,False,1,1.0,True,False,258
47,17SBN-2188,SBN-2188,17,"an act increasing the bed capacity of the mariano marcos memorial hospital and medical center (mmmh&mc), batac city, ilocos norte from two hundred (200 ) beds to seven hundred (700 ) beds, upgrading its services, facilities, and professional
health care, authorizing the increase of its medical and non-medical personnel, and appropriating funds therefor",2019-01-29,Local,Approved by the President of the Philippines,"Pimentel, Aquilino Koko III L., Ejercito, Joseph Victor G.",2019-04-12,True,Koko Pimentel,PDP–Laban,Majority,9.0,2,73.0,False,1,1.0,False,True,354
48,17SBN-2187,SBN-2187,17,"an act converting the san lorenzo ruiz women's hospital in malabon city, metro manila into a general hospital to be known as the san lorenzo ruiz general hospital, increasing its bed capacity from ten (10) to two hundred (200 ) beds and appropriating funds therefor",2019-01-29,Local,Approved by the President of the Philippines,"Zubiri, Juan Miguel F., Ejercito, Joseph Victor G.",2019-04-12,True,Juan Miguel Zubiri,PDP–Laban,Majority,12.0,2,73.0,False,1,1.0,False,True,265
49,17SBN-2186,SBN-2186,17,"an act providing policies and prescribing procedures on surveillance and response to notifiable diseases, epidemics, and health events of public health concern, and appropriating funds therefor, repealing for the purpose act no. 3573, otherwise known as the ""law on reporting of communicable diseases""",2019-01-29,National,Approved by the President of the Philippines,"Ejercito, Joseph Victor G., Villanueva, Joel, Binay, Maria Lourdes Nancy S., Hontiveros, Risa",2019-04-26,True,JV Ejercito,NPC,Majority,6.0,4,87.0,False,1,1.0,True,True,301
63,17SBN-2172,SBN-2172,17,an act establishing a community-based monitoring system and appropriating funds therefor,2019-01-23,National,Approved by the President of the Philippines,"Binay, Maria Lourdes Nancy S., Zubiri, Juan Miguel F., De Lima, Leila M., Angara, Juan Edgardo ""Sonny"" M., Legarda, Loren B., Gatchalian, Sherwin T.",2019-04-17,True,Nancy Binay,UNA,Majority,6.0,6,84.0,False,1,1.0,True,True,88
67,17SBN-2168,SBN-2168,17,"an act creating the davao international airport authority, transferring existing assets of francisco bangoy international airport to the authority, vesting the authority with power to administer and operate the francisco bangoy international airport and appropriating funds therefor",2019-01-22,National,Approved by the President of the Philippines,"Zubiri, Juan Miguel F., Poe, Grace L., Angara, Juan Edgardo ""Sonny"" M., Legarda, Loren B., Gordon, Richard J., Ejercito, Joseph Victor G.",2019-06-30,True,Juan Miguel Zubiri,PDP–Laban,Majority,12.0,6,159.0,False,1,1.0,True,True,282
76,17SBN-2159,SBN-2159,17,"an act creating the national commission of senior citizens, providing for its functions, abolishing the national coordinating council and monitoring board, amending for the purpose republic act no. 7432, as amended, and appropriating funds therefor",2019-01-21,National,Consolidated with Approved Bill,"Aquino IV, Paolo Benigno ""Bam"", Sotto III, Vicente C., Angara, Juan Edgardo ""Sonny"" M., Trillanes, Antonio ""Sonny"" F., De Lima, Leila M., Binay, Maria Lourdes Nancy S., Drilon, Franklin M., Ejercito, Joseph Victor G., Gatchalian, Sherwin T., Gordon, Richard J., Honasan II, Gregorio B., Hontiveros, Risa, Lacson, Panfilo M., Legarda, Loren B., Pimentel, Aquilino Koko III L., Poe, Grace L., Villanueva, Joel, Zubiri, Juan Miguel F.",2019-06-30,True,Bam Aquino,Liberal,Minority,6.0,18,160.0,False,1,1.0,True,False,248
