,bill_id,long_title_x,bill_status,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,num,congress,long_title_y,date_filed,scope,status,author,date_lastUpdate,passed,Full Name Primary Author,Party,Bloc,Years of Service,num_authors,delta_days,upper,mon,quarter,scope_national,majority_bloc,len_desc
0,17SBN-2234,"['sale', 'certain', 'land', 'barangay', 'city', 'university', 'city', 'university', 'charter']",Passed,1,0,0,0,0,0,1,1,1,1,SBN-2234,17,"an act authorizing the sale of certain parcels of land in barangay krus na ligas, quezon city by the university of the philippines to the quezon city government amending for the purpose republic act no. 9500, otherwise known as the university of the philippines charter of 2008 and for other purposes",5/27/19,National,Approved by the President of the Philippines,"Recto, Ralph G., Sotto III, Vicente C., Escudero, Francis ""Chiz"" G.",6/30/19,True,Ralph Recto,Nacionalista,Majority,18,3,34,False,5,2,True,True,300
1,17SBN-2233,"['excise', 'tax', 'tobacco', 'tax', 'incremental', 'tobacco', 'excise', 'tax', 'human', 'resource', 'development', 'health', 'internal', 'revenue']",Passed,0,0,0,1,1,0,1,0,1,1,SBN-2233,17,"an act increasing the excise tax on tobacco products, the penalties for violations of provisions on articles subject to excise tax, and earmarking incremental tobacco excise tax for human resource development programs for health professionals, amending for this purpose sections 145, 164, 260, 262, 263, 265 and 288(c) of the national internal revenue code of 1997, as amended by republic act no. 10963, and for other purposes",5/27/19,National,Consolidated with Approved Bill,"Pacquiao, Emmanuel ""Manny"" D., Ejercito, Joseph Victor G., Gatchalian, Sherwin T., Angara, Juan Edgardo ""Sonny"" M., Villanueva, Joel, De Lima, Leila M.",6/30/19,True,Manny Pacquiao,PDP_Laban,Majority,3,6,34,False,5,2,True,True,426
2,17SBN-2228,"['nature', 'park', 'barangay', 'city', 'province', 'responsible', 'zone']",Passed,0,0,1,0,0,0,1,1,0,0,SBN-2228,17,"an act declaring the balanga wetland and nature park located in barangay tortugas, city of balanga, province of bataan as a responsible, community-based ecotourism zone and appropriating funds therefor",5/21/19,National,Approved by the President of the Philippines,"Villar, Cynthia A., Binay, Maria Lourdes Nancy S., Legarda, Loren B.",6/30/19,True,Cynthia Villar,Nacionalista,Majority,6,3,40,False,5,2,True,True,201
3,17SBN-2195,"['court', 'community', 'service', 'lieu', 'imprisonment', 'chapter', 'book']",Passed,0,1,0,0,0,0,0,1,0,1,SBN-2195,17,"an act authorizing the court to require community service in lieu of imprisonment for the penalties of arresto menor and arresto mayor, amending for the purpose chapter 5, title 3, book i of act no. 3815, as amended, otherwise known as the revised penal code",1/30/19,National,Approved by the President of the Philippines,"Trillanes, Antonio ""Sonny"" F., Angara, Juan Edgardo ""Sonny"" M., Ejercito, Joseph Victor G., Gordon, Richard J.",6/30/19,True,Antonio Trillanes IV,Nacionalista,Minority,12,4,151,False,1,1,True,False,258
4,17SBN-2188,"['bed', 'capacity', 'memorial', 'hospital', 'medical', 'center', 'city', 'increase', 'medical', 'nonmedical', 'personnel']",Passed,0,1,0,0,0,1,0,1,0,1,SBN-2188,17,"an act increasing the bed capacity of the mariano marcos memorial hospital and medical center (mmmh&mc), batac city, ilocos norte from two hundred (200 ) beds to seven hundred (700 ) beds, upgrading its services, facilities, and professional
health care, authorizing the increase of its medical and non-medical personnel, and appropriating funds therefor",1/29/19,Local,Approved by the President of the Philippines,"Pimentel, Aquilino Koko III L., Ejercito, Joseph Victor G.",4/12/19,True,Koko Pimentel,PDP_Laban,Majority,9,2,73,False,1,1,False,True,354
5,17SBN-2187,"['hospital', 'city', 'general', 'hospital', 'general', 'hospital', 'capacity']",Passed,0,0,0,0,0,0,0,1,0,0,SBN-2187,17,"an act converting the san lorenzo ruiz women's hospital in malabon city, metro manila into a general hospital to be known as the san lorenzo ruiz general hospital, increasing its bed capacity from ten (10) to two hundred (200 ) beds and appropriating funds therefor",1/29/19,Local,Approved by the President of the Philippines,"Zubiri, Juan Miguel F., Ejercito, Joseph Victor G.",4/12/19,True,Juan Miguel Zubiri,PDP_Laban,Majority,12,2,73,False,1,1,False,True,265
6,17SBN-2186,"['surveillance', 'response', 'notifiable', 'health', 'public', 'health', 'concern', 'communicable']",Passed,0,0,1,1,0,1,1,0,0,1,SBN-2186,17,"an act providing policies and prescribing procedures on surveillance and response to notifiable diseases, epidemics, and health events of public health concern, and appropriating funds therefor, repealing for the purpose act no. 3573, otherwise known as the ""law on reporting of communicable diseases""",1/29/19,National,Approved by the President of the Philippines,"Ejercito, Joseph Victor G., Villanueva, Joel, Binay, Maria Lourdes Nancy S., Hontiveros, Risa",4/26/19,True,JV Ejercito,NPC,Majority,6,4,87,False,1,1,True,True,301
7,17SBN-2172,['system'],Passed,1,0,0,0,1,0,0,0,0,0,SBN-2172,17,an act establishing a community-based monitoring system and appropriating funds therefor,1/23/19,National,Approved by the President of the Philippines,"Binay, Maria Lourdes Nancy S., Zubiri, Juan Miguel F., De Lima, Leila M., Angara, Juan Edgardo ""Sonny"" M., Legarda, Loren B., Gatchalian, Sherwin T.",4/17/19,True,Nancy Binay,UNA,Majority,6,6,84,False,1,1,True,True,88
8,17SBN-2168,"['international', 'airport', 'authority', 'asset', 'international', 'airport', 'authority', 'authority', 'power', 'international', 'airport']",Passed,0,0,0,0,0,0,0,0,1,0,SBN-2168,17,"an act creating the davao international airport authority, transferring existing assets of francisco bangoy international airport to the authority, vesting the authority with power to administer and operate the francisco bangoy international airport and appropriating funds therefor",1/22/19,National,Approved by the President of the Philippines,"Zubiri, Juan Miguel F., Poe, Grace L., Angara, Juan Edgardo ""Sonny"" M., Legarda, Loren B., Gordon, Richard J., Ejercito, Joseph Victor G.",6/30/19,True,Juan Miguel Zubiri,PDP_Laban,Majority,12,6,159,False,1,1,True,True,282
9,17SBN-2159,"['commission', 'senior', 'council', 'board']",Passed,0,0,0,0,1,0,0,0,0,1,SBN-2159,17,"an act creating the national commission of senior citizens, providing for its functions, abolishing the national coordinating council and monitoring board, amending for the purpose republic act no. 7432, as amended, and appropriating funds therefor",1/21/19,National,Consolidated with Approved Bill,"Aquino IV, Paolo Benigno ""Bam"", Sotto III, Vicente C., Angara, Juan Edgardo ""Sonny"" M., Trillanes, Antonio ""Sonny"" F., De Lima, Leila M., Binay, Maria Lourdes Nancy S., Drilon, Franklin M., Ejercito, Joseph Victor G., Gatchalian, Sherwin T., Gordon, Richard J., Honasan II, Gregorio B., Hontiveros, Risa, Lacson, Panfilo M., Legarda, Loren B., Pimentel, Aquilino Koko III L., Poe, Grace L., Villanueva, Joel, Zubiri, Juan Miguel F.",6/30/19,True,Bam Aquino,Liberal,Minority,6,18,160,False,1,1,True,False,248
