,Word,Weight
0,zone,3273
1,youth,3272
2,young,3271
3,wrongful,3270
4,writing,3269
5,writ,3268
6,wound,3267
7,worst,3266
8,world,3265
9,workplace,3264
10,working,3263
11,worker,3262
12,workday,3261
13,work,3260
14,word,3259
15,woman,3258
16,witness,3257
17,withheld,3256
18,withdrawn,3255
19,wise,3254
20,wireless,3253
21,wire,3252
22,winning,3251
23,window,3250
24,windfall,3249
25,wind,3248
26,willing,3247
27,willful,3246
28,wildlife,3245
29,wilderness,3244
30,wife,3243
31,widow,3242
32,white,3241
33,western,3240
34,west,3239
35,wellness,3238
36,welfare,3237
37,weight,3236
38,week,3235
39,weaving,3234
40,weather,3233
41,wearing,3232
42,wearable,3231
43,wealth,3230
44,way,3229
45,watershed,3228
46,waterless,3227
47,water,3226
48,waste,3225
49,warranty,3224
50,warrant,3223
51,warning,3222
52,warming,3221
53,warehouse,3220
54,ward,3219
55,war,3218
56,waiver,3217
57,wage,3216
58,vulnerable,3215
59,vulnerability,3214
60,voyeurism,3213
61,voucher,3212
62,voting,3211
63,voter,3210
64,volunteerism,3209
65,volunteer,3208
66,voluntary,3207
67,volcanology,3206
68,volcano,3205
69,volcanic,3204
70,volatile,3203
71,void,3202
72,voice,3201
73,vocational,3200
74,vital,3199
75,visual,3198
76,visitor,3197
77,visiting,3196
78,visitation,3195
79,vision,3194
80,visible,3193
81,visa,3192
82,virus,3191
83,virtue,3190
84,virtual,3189
85,viral,3188
86,violent,3187
87,violence,3186
88,violator,3185
89,violation,3184
90,village,3183
91,villa,3182
92,vilification,3181
93,view,3180
94,video,3179
95,victory,3178
96,victim,3177
97,vicinity,3176
98,viable,3175
99,viability,3174
100,vexation,3173
101,veterinary,3172
102,veterinarian,3171
103,veteran,3170
104,vesting,3169
105,vessel,3168
106,vertical,3167
107,version,3166
108,vernacular,3165
109,verification,3164
110,verbal,3163
111,venue,3162
112,venture,3161
113,vehicular,3160
114,vehicle,3159
115,vegetable,3158
116,vat,3157
117,varsity,3156
118,various,3155
119,vandalism,3154
120,value,3153
121,valuation,3152
122,valuable,3151
123,valor,3150
124,valley,3149
125,validity,3148
126,validation,3147
127,vagrancy,3146
128,vaccine,3145
129,vaccination,3144
130,vacation,3143
131,vacant,3142
132,vacancy,3141
133,utmost,3140
134,utilization,3139
135,utility,3138
136,urgent,3137
137,urban,3136
138,upland,3135
139,upgrade,3134
140,unworthiness,3133
141,unwanted,3132
142,unvaccinated,3131
143,unsolicited,3130
144,unsold,3129
145,unserved,3128
146,unscrupulous,3127
147,unsafe,3126
148,unremitted,3125
149,unreasonable,3124
150,unpaid,3123
151,unnecessary,3122
152,unmarried,3121
153,unmanageable,3120
154,unlawful,3119
155,unknown,3118
156,unjust,3117
157,university,3116
158,universe,3115
159,universal,3114
160,united,3113
161,unique,3112
162,union,3111
163,uninterrupted,3110
164,unilateral,3109
165,uniformed,3108
166,uniform,3107
167,unified,3106
168,unidentified,3105
169,unfair,3104
170,unethical,3103
171,unequal,3102
172,unemployment,3101
173,unemployed,3100
174,unemancipated,3099
175,undue,3098
176,undiagnosed,3097
177,undeserved,3096
178,underwater,3095
179,undersecretary,3094
180,underprivileged,3093
181,undernutrition,3092
182,underground,3091
183,undergoing,3090
184,undergo,3089
185,underage,3088
186,unconscious,3087
187,unconscionable,3086
188,unclaimed,3085
189,unborn,3084
190,unauthorized,3083
191,unattended,3082
192,umbilical,3081
193,typographical,3080
194,typhoon,3079
195,twin,3078
196,turtle,3077
197,turnover,3076
198,turnout,3075
199,turncoatism,3074
200,tuna,3073
201,tuition,3072
202,tuberculosis,3071
203,tsunami,3070
204,truthful,3069
205,truth,3068
206,trust,3067
207,true,3066
208,truck,3065
209,tropical,3064
210,tricycle,3063
211,tribal,3062
212,trial,3061
213,tree,3060
214,treaty,3059
215,treatment,3058
216,treasury,3057
217,treasurer,3056
218,travel,3055
219,traumatic,3054
220,trauma,3053
221,transporting,3052
222,transportation,3051
223,transport,3050
224,transplantation,3049
225,transplant,3048
226,transparent,3047
227,transparency,3046
228,transnational,3045
229,transmission,3044
230,translation,3043
231,transitory,3042
232,transition,3041
233,transit,3040
234,transfusion,3039
235,transformation,3038
236,transfer,3037
237,transaction,3036
238,tramp,3035
239,training,3034
240,train,3033
241,traffic,3032
242,traditional,3031
243,tradition,3030
244,trading,3029
245,trade,3028
246,toy,3027
247,toxic,3026
248,town,3025
249,tourist,3024
250,tourism,3023
251,tourette,3022
252,total,3021
253,torture,3020
254,tool,3019
255,toll,3018
256,toddler,3017
257,tobacco,3016
258,titling,3015
259,tissue,3014
260,timely,3013
261,time,3012
262,timberland,3011
263,tie,3010
264,throwaway,3009
265,throw,3008
266,throat,3007
267,thrift,3006
268,threshold,3005
269,threat,3004
270,thorough,3003
271,thesis,3002
272,therapy,3001
273,therapeutic,3000
274,theft,2999
275,thanksgiving,2998
276,textile,2997
277,textbook,2996
278,text,2995
279,tetraborate,2994
280,testing,2993
281,testimony,2992
282,testamentary,2991
283,test,2990
284,tertiary,2989
285,terrorist,2988
286,terrorism,2987
287,territory,2986
288,territorial,2985
289,terrestrial,2984
290,ternal,2983
291,termination,2982
292,terminal,2981
293,term,2980
294,tenure,2979
295,tender,2978
296,temporary,2977
297,temporal,2976
298,teller,2975
299,television,2974
300,telephone,2973
301,telegraph,2972
302,telecommunication,2971
303,teenage,2970
304,teen,2969
305,technology,2968
306,technological,2967
307,technician,2966
308,technical,2965
309,teaching,2964
310,teacher,2963
311,taxpayer,2962
312,taxing,2961
313,taximeter,2960
314,taxi,2959
315,taxation,2958
316,taxable,2957
317,tax,2956
318,taught,2955
319,tattooing,2954
320,tattoo,2953
321,task,2952
322,tariff,2951
323,tar,2950
324,tapping,2949
325,tape,2948
326,tantamount,2947
327,talented,2946
328,talent,2945
329,taking,2944
330,tactical,2943
331,tabloid,2942
332,table,2941
333,systemic,2940
334,systematic,2939
335,synthetic,2938
336,syndrome,2937
337,syndicate,2936
338,synchronized,2935
339,synchronization,2934
340,sworn,2933
341,switching,2932
342,swiss,2931
343,swimming,2930
344,swift,2929
345,swamp,2928
346,sustained,2927
347,sustainable,2926
348,suspicious,2925
349,suspension,2924
350,suspect,2923
351,survivorship,2922
352,surviving,2921
353,survival,2920
354,survey,2919
355,surveillance,2918
356,surrogate,2917
357,surname,2916
358,surgical,2915
359,surgery,2914
360,surface,2913
361,surety,2912
362,surcharge,2911
363,supreme,2910
364,suppression,2909
365,support,2908
366,supply,2907
367,supplementation,2906
368,supplemental,2905
369,supervisory,2904
370,supervisor,2903
371,supervision,2902
372,superior,2901
373,superfluity,2900
374,sundry,2899
375,summit,2898
376,summer,2897
377,summary,2896
378,sum,2895
379,sultan,2894
380,suitable,2893
381,suicide,2892
382,sugar,2891
383,sufficient,2890
384,sufficiency,2889
385,succession,2888
386,successful,2887
387,substitution,2886
388,substantive,2885
389,substantial,2884
390,substandard,2883
391,substance,2882
392,subsistence,2881
393,subsidy,2880
394,subsidize,2879
395,subsidiary,2878
396,subsequent,2877
397,subsection,2876
398,subscriber,2875
399,subprovincial,2874
400,subpoena,2873
401,subornation,2872
402,submission,2871
403,subdivision,2870
404,subdistrict,2869
405,style,2868
406,study,2867
407,student,2866
408,structure,2865
409,structural,2864
410,strip,2863
411,stringent,2862
412,strict,2861
413,stress,2860
414,strengthening,2859
415,strengthen,2858
416,streetside,2857
417,street,2856
418,strategy,2855
419,strategic,2854
420,straight,2853
421,storm,2852
422,store,2851
423,storage,2850
424,stop,2849
425,stolen,2848
426,stock,2847
427,stimulus,2846
428,stiff,2845
429,stick,2844
430,stewardship,2843
431,stay,2842
432,statutory,2841
433,statute,2840
434,status,2839
435,statistical,2838
436,statistic,2837
437,station,2836
438,state,2835
439,start,2834
440,staple,2833
441,standing,2832
442,standardized,2831
443,standardization,2830
444,standard,2829
445,stamp,2828
446,stakeholder,2827
447,staging,2826
448,stage,2825
449,staff,2824
450,stabilize,2823
451,stabilization,2822
452,stability,2821
453,square,2820
454,spring,2819
455,spread,2818
456,spouse,2817
457,spot,2816
458,sporting,2815
459,sport,2814
460,spiritual,2813
461,spirit,2812
462,spillage,2811
463,spill,2810
464,speed,2809
465,speech,2808
466,spectrum,2807
467,specimen,2806
468,specification,2805
469,specific,2804
470,specie,2803
471,specialty,2802
472,specialized,2801
473,special,2800
474,speaker,2799
475,space,2798
476,spa,2797
477,soybean,2796
478,sovereignty,2795
479,sovereign,2794
480,southern,2793
481,southeastern,2792
482,southeast,2791
483,south,2790
484,source,2789
485,sound,2788
486,sorority,2787
487,son,2786
488,solidary,2785
489,solidarity,2784
490,solid,2783
491,solicitor,2782
492,solicitation,2781
493,sole,2780
494,soldier,2779
495,solar,2778
496,soil,2777
497,sodium,2776
498,socioeconomic,2775
499,sociocultural,2774
500,society,2773
501,social,2772
502,snatching,2771
503,smuggling,2770
504,smoking,2769
505,smoke,2768
506,smart,2767
507,small,2766
508,sludge,2765
509,sloping,2764
510,slave,2763
511,slaughter,2762
512,slain,2761
513,skilled,2760
514,skill,2759
515,skate,2758
516,size,2757
517,situation,2756
518,site,2755
519,single,2754
520,sin,2753
521,simulator,2752
522,simplified,2751
523,simple,2750
524,similar,2749
525,silver,2748
526,silica,2747
527,significant,2746
528,signal,2745
529,sign,2744
530,sight,2743
531,siege,2742
532,sickness,2741
533,sick,2740
534,shul,2739
535,shrine,2738
536,shrimp,2737
537,showing,2736
538,shortage,2735
539,short,2734
540,shopping,2733
541,shop,2732
542,shipping,2731
543,shipment,2730
544,shipboard,2729
545,ship,2728
546,shift,2727
547,shelter,2726
548,sheep,2725
549,shaw,2724
550,share,2723
551,shaken,2722
552,sexual,2721
553,sex,2720
554,sewage,2719
555,severe,2718
556,settler,2717
557,settlement,2716
558,setting,2715
559,serving,2714
560,service,2713
561,series,2712
562,separation,2711
563,separate,2710
564,sentence,2709
565,sent,2708
566,sensitive,2707
567,senior,2706
568,senate,2705
569,seminar,2704
570,selling,2703
571,seller,2702
572,self,2701
573,selection,2700
574,seismology,2699
575,seduction,2698
576,security,2697
577,sectoral,2696
578,sector,2695
579,sect,2694
580,secretary,2693
581,secretariat,2692
582,secrecy,2691
583,seaweed,2690
584,seating,2689
585,seat,2688
586,season,2687
587,seascape,2686
588,searchable,2685
589,search,2684
590,seal,2683
591,sea,2682
592,screening,2681
593,screen,2680
594,scouting,2679
595,scope,2678
596,scleroderma,2677
597,scientist,2676
598,scientific,2675
599,science,2674
600,school,2673
601,scholarship,2672
602,scheme,2671
603,schedule,2670
604,scenic,2669
605,scarce,2668
606,scandal,2667
607,scale,2666
608,saver,2665
609,satisfaction,2664
610,satellite,2663
611,sanitation,2662
612,sanitary,2661
613,sanitarium,2660
614,sand,2659
615,sanctuary,2658
616,sanction,2657
617,salvaging,2656
618,salvage,2655
619,salt,2654
620,salon,2653
621,sale,2652
622,salary,2651
623,safety,2650
624,safekeeping,2649
625,safeguard,2648
626,safe,2647
627,sacrifice,2646
628,sabotage,2645
629,rural,2644
630,runoff,2643
631,runaway,2642
632,run,2641
633,ruminant,2640
634,rule,2639
635,rubber,2638
636,rotary,2637
637,roller,2636
638,role,2635
639,rock,2634
640,robbery,2633
641,road,2632
642,river,2631
643,risk,2630
644,rise,2629
645,right,2628
646,riding,2627
647,ridicule,2626
648,ride,2625
649,rich,2624
650,rice,2623
651,reward,2622
652,revocation,2621
653,revival,2620
654,revitalization,2619
655,revision,2618
656,review,2617
657,reversion,2616
658,reversal,2615
659,revenue,2614
660,return,2613
661,retroactive,2612
662,retrenchment,2611
663,retirement,2610
664,retired,2609
665,retinoblastoma,2608
666,retention,2607
667,retaliatory,2606
668,retail,2605
669,resuscitation,2604
670,result,2603
671,restriction,2602
672,restraint,2601
673,restorative,2600
674,restoration,2599
675,restitution,2598
676,rest,2597
677,responsive,2596
678,responsible,2595
679,responsibility,2594
680,response,2593
681,respite,2592
682,respiratory,2591
683,respective,2590
684,respect,2589
685,resource,2588
686,resolution,2587
687,resistant,2586
688,resistance,2585
689,resilient,2584
690,resiliency,2583
691,resilience,2582
692,resigned,2581
693,resignation,2580
694,residual,2579
695,residential,2578
696,resident,2577
697,residency,2576
698,residence,2575
699,resettlement,2574
700,reservist,2573
701,reserve,2572
702,reservation,2571
703,research,2570
704,rescue,2569
705,requisite,2568
706,requirement,2567
707,requalification,2566
708,reproductive,2565
709,reproduction,2564
710,reprisal,2563
711,representative,2562
712,representation,2561
713,repository,2560
714,repose,2559
715,reporter,2558
716,report,2557
717,reply,2556
718,replica,2555
719,replacement,2554
720,repayment,2553
721,repatriation,2552
722,reparation,2551
723,repair,2550
724,reorientation,2549
725,reorganization,2548
726,rental,2547
727,rent,2546
728,renomination,2545
729,renewal,2544
730,renewable,2543
731,rendition,2542
732,render,2541
733,renaissance,2540
734,remuneration,2539
735,removing,2538
736,remove,2537
737,removal,2536
738,remote,2535
739,remittance,2534
740,remembrance,2533
741,remediation,2532
742,remedial,2531
743,remarriage,2530
744,remains,2529
745,relocation,2528
746,religious,2527
747,religion,2526
748,relief,2525
749,reliant,2524
750,reliable,2523
751,reliability,2522
752,relevant,2521
753,release,2520
